name,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
Shredded Wheat 'n'Bran,90,3,0,0,4.0,19.0,0,140,0,1,1.0,0.67,74.472949
Shredded Wheat spoon size,90,3,0,0,3.0,20.0,0,120,0,1,1.0,0.67,72.801787
Smacks,110,2,1,70,1.0,9.0,15,40,25,2,1.0,0.75,31.230054
Special K,110,6,0,230,1.0,16.0,3,55,25,1,1.0,1.0,53.131324
Strawberry Fruit Wheats,90,2,0,15,3.0,15.0,5,90,25,2,1.0,1.0,59.36399300000001
Total Corn Flakes,110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,38.839746000000005
Total Raisin Bran,140,3,1,190,4.0,15.0,14,230,100,3,1.5,1.0,28.592785
Total Whole Grain,100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,46.658844
Triples,110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,39.106173999999996
Trix,110,1,1,140,0.0,13.0,12,25,25,2,1.0,1.0,27.753301
Wheat Chex,100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,49.787445
Wheaties,100,3,1,200,3.0,17.0,3,110,25,1,1.0,1.0,51.592193
Wheaties Honey Gold,110,2,1,200,1.0,16.0,8,60,25,1,1.0,0.75,36.187559
